nwb_file_name,epoch,trial_number_by_epoch,leaf,stem,reward,poke_in_ts,reward_on_ts,reward_off_ts,poke_out_ts,contingency_count,trials_thresh_per_conting,minutes_thresh_per_conting,p_rew_leaf1,p_rew_leaf2,p_rew_leaf3,p_rew_leaf4,p_rew_leaf5,p_rew_leaf6,decay_percent,p_rew_reset_leaf1,p_rew_reset_leaf2,p_rew_reset_leaf3,p_rew_reset_leaf4,p_rew_reset_leaf5,p_rew_reset_leaf6
senor20201030_.nwb,2,156,5,C,1,1604079242.2878528,1604079242.324853,1604079242.624853,1604079248.6068528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,157,6,C,0,1604079251.0898528,,,1604079251.8268528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,158,5,C,0,1604079254.4378529,,,1604079255.1038527,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,159,6,C,0,1604079257.9258528,,,1604079258.613853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,160,5,C,1,1604079261.2998528,1604079261.340853,1604079261.640853,1604079267.8458529,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,161,6,C,0,1604079270.2928529,,,1604079270.919853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,162,5,C,1,1604079273.5368528,1604079273.5758529,1604079273.8758528,1604079279.275853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,163,6,C,1,1604079281.7838528,1604079281.838853,1604079282.1388528,1604079287.729853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,164,5,C,1,1604079290.4478528,1604079290.4788527,1604079290.778853,1604079295.1748528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,165,6,C,0,1604079297.5658529,,,1604079298.1678529,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,166,5,C,1,1604079300.837853,1604079300.8818529,1604079301.1818528,1604079306.3568528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,167,6,C,1,1604079308.8398528,1604079308.8928528,1604079309.192853,1604079315.338853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,168,5,C,0,1604079317.943853,,,1604079318.5758529,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,169,6,C,0,1604079321.203853,,,1604079321.8588529,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,170,5,C,1,1604079324.7638528,1604079324.814853,1604079325.114853,1604079331.249853,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,171,6,C,1,1604079333.7188528,1604079333.759853,1604079334.0598528,1604079339.7338529,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,172,5,C,1,1604079342.294853,1604079342.347853,1604079342.647853,1604079347.0728528,2,60,20,50,20,20,50,80,50,,,,,,,
senor20201030_.nwb,2,173,6,C,1,1604079349.591853,1604079349.643853,1604079349.943853,1604079355.9678528,2,60,20,50,20,20,50,80,50,,,,,,,
